strain;biorep;techrep;dil;count
H01;1;1;6;7
H01;1;2;5;76
H01;1;3;5;77
H01;1;4;5;63
H01;2;1;5;59
H01;2;2;5;53
H01;2;3;5;45
H01;2;4;5;49
H01;3;1;5;61
H01;3;2;5;60
H01;3;3;5;60
H01;3;4;5;63
H02;1;1;6;7
H02;1;2;5;76
H02;1;3;5;77
H02;1;4;5;63
H02;2;1;6;8
H02;2;2;6;9
H02;2;3;5;44
H02;2;4;5;58
H02;3;1;6;15
H02;3;2;6;21
H02;3;3;6;13
H02;3;4;6;12
H03;1;1;6;10
H03;1;2;6;19
H03;1;3;6;11
H03;1;4;6;9
H03;2;1;6;9
H03;2;2;6;12
H03;2;3;6;14
H03;2;4;6;10
H03;3;1;6;20
H03;3;2;6;23
H03;3;3;6;16
H03;3;4;6;15
H04;1;1;5;36
H04;1;2;5;22
H04;1;3;5;32
H04;1;4;5;22
H04;2;1;5;50
H04;2;2;5;47
H04;2;3;5;48
H04;2;4;5;42
H04;3;1;6;23
H04;3;2;6;20
H04;3;3;6;10
H04;3;4;6;9
H05;1;1;6;20
H05;1;2;5;78
H05;1;3;5;76
H05;1;4;5;63
H05;2;1;5;47
H05;2;2;5;49
H05;2;3;6;15
H05;2;4;5;53
H05;3;1;5;74
H05;3;2;5;78
H05;3;3;5;76
H05;3;4;5;66
H06;1;1;5;75
H06;1;2;6;9
H06;1;3;6;8
H06;1;4;5;56
H06;2;1;5;70
H06;2;2;5;71
H06;2;3;6;14
H06;2;4;5;48
H06;3;1;5;85
H06;3;2;5;68
H06;3;3;5;82
H06;3;4;5;76
H07;1;1;6;19
H07;1;2;6;13
H07;1;3;5;58
H07;1;4;6;7
H07;2;1;6;15
H07;2;2;6;16
H07;2;3;6;13
H07;2;4;6;16
H07;3;1;6;11
H07;3;2;6;9
H07;3;3;6;9
H07;3;4;6;9
H08;1;1;6;12
H08;1;2;6;8
H08;1;3;6;10
H08;1;4;5;49
H08;2;1;6;11
H08;2;2;6;18
H08;2;3;6;19
H08;2;4;5;44
H08;3;1;6;12
H08;3;2;6;13
H08;3;3;5;72
H08;3;4;5;57
H09;1;1;6;28
H09;1;2;6;21
H09;1;3;6;18
H09;1;4;5;76
H09;2;1;6;26
H09;2;2;6;18
H09;2;3;6;16
H09;2;4;6;16
H09;3;1;6;22
H09;3;2;6;22
H09;3;3;5;86
H09;3;4;5;73
H10;1;1;6;21
H10;1;2;6;14
H10;1;3;6;17
H10;1;4;5;56
H10;2;1;6;24
H10;2;2;6;29
H10;2;3;6;22
H10;2;4;6;20
H10;3;1;6;21
H10;3;2;6;14
H10;3;3;6;27
H10;3;4;6;22
H11;1;1;6;33
H11;1;2;6;24
H11;1;3;6;27
H11;1;4;6;37
H11;2;1;6;44
H11;2;2;6;41
H11;2;3;6;37
H11;2;4;6;35
H11;3;1;6;43
H11;3;2;6;44
H11;3;3;6;43
H11;3;4;6;37
H12;1;1;6;38
H12;1;2;6;39
H12;1;3;6;33
H12;1;4;6;34
H12;2;1;6;37
H12;2;2;6;35
H12;2;3;6;47
H12;2;4;6;33
H12;3;1;6;37
H12;3;2;6;29
H12;3;3;6;35
H12;3;4;6;37
H13;1;1;6;17
H13;1;2;6;17
H13;1;3;5;70
H13;1;4;6;17
H13;2;1;6;19
H13;2;2;6;19
H13;2;3;6;16
H13;2;4;6;13
H13;3;1;6;19
H13;3;2;6;23
H13;3;3;6;21
H13;3;4;6;19
H14;1;1;6;23
H14;1;2;6;26
H14;1;3;6;22
H14;1;4;6;19
H14;2;1;6;22
H14;2;2;6;27
H14;2;3;6;18
H14;2;4;6;17
H14;3;1;6;25
H14;3;2;6;28
H14;3;3;6;25
H14;3;4;6;22
H15;1;1;6;32
H15;1;2;5;96
H15;1;3;6;20
H15;1;4;5;95
H15;2;1;6;26
H15;2;2;6;23
H15;2;3;6;23
H15;2;4;6;20
H15;3;1;6;23
H15;3;2;6;19
H15;3;3;6;21
H15;3;4;6;17
H16;1;1;6;25
H16;1;2;6;18
H16;1;3;6;20
H16;1;4;5;38
H16;2;1;6;17
H16;2;2;6;16
H16;2;3;6;20
H16;2;4;6;20
H16;3;1;6;23
H16;3;2;6;19
H16;3;3;6;30
H16;3;4;6;23
H17;1;1;6;18
H17;1;2;6;18
H17;1;3;6;18
H17;1;4;5;58
H17;2;1;6;17
H17;2;2;6;11
H17;2;3;6;16
H17;2;4;6;11
H17;3;1;;
H17;3;2;;
H17;3;3;;
H17;3;4;;
H18;1;1;6;15
H18;1;2;6;17
H18;1;3;5;98
H18;1;4;6;17
H18;2;1;6;18
H18;2;2;6;14
H18;2;3;6;12
H18;2;4;6;16
H18;3;1;;
H18;3;2;;
H18;3;3;;
H18;3;4;;
H19;1;1;6;22
H19;1;2;6;19
H19;1;3;5;87
H19;1;4;5;90
H19;2;1;6;19
H19;2;2;6;20
H19;2;3;6;24
H19;2;4;6;20
H19;3;1;6;25
H19;3;2;6;16
H19;3;3;5;65
H19;3;4;5;73
H20;1;1;6;13
H20;1;2;6;14
H20;1;3;6;11
H20;1;4;5;62
H20;2;1;6;23
H20;2;2;6;31
H20;2;3;6;17
H20;2;4;6;19
H20;3;1;6;25
H20;3;2;6;19
H20;3;3;6;22
H20;3;4;6;17
